(213500, 95100)
(98100, 50900)
(135600, 59100)
(151300, 82200)
(116900, 68800)
(148200, 86700)
(82600, 47800)
(126200, 75900)
(234600, 119200)
(148300, 97100)
(126000, 75300)
(128100, 75100)
(205000, 121400)
(166500, 87600)
(77900, 51200)
(97800, 62900)
(92000, 59600)
(130200, 58400)
(176400, 126900)
(131200, 85300)
(75400, 49400)
(73900, 49100)
(126100, 86200)
(91600, 58600)
(77800, 49500)
(97300, 59000)
(104300, 65400)
(285500, 273300)
(312700, 204400)
(157900, 148400)
(116500, 66000)
(152800, 94700)
(113200, 74000)
(483200, 141200)
(98200, 60400)
(83200, 79600)
(127000, 77300)
(229400, 107300)
(112600, 71200)
(192100, 140500)
(400600, 226800)
(113900, 85800)
(113400, 61600)
(142800, 88300)
(141900, 56400)
(92000, 67600)
(123300, 239600)
(166400, 136900)
(99500, 60700)
(96600, 67200)
(152300, 110600)
(74500, 49600)
(123900, 77200)
(90400, 57900)
(113000, 57500)
(120000, 66000)
(84500, 53800)
(72900, 61700)
(197700, 91500)
(152300, 97000)
(157500, 99600)
(139000, 93000)
(150000, 83000)
(187000, 82900)
(113700, 73600)
(75700, 48900)
(94700, 58500)
(119000, 73600)
(112900, 65900)
(116600, 74100)
(117200, 75900)
(158200, 94000)
(119000, 70800)
(116400, 73500)
(73700, 46800)
(151100, 67200)
(153200, 94100)
(101000, 65900)
(163400, 100400)
(99100, 63300)
(96400, 60800)
(82000, 66400)
(132500, 82700)
(91000, 56100)
(119900, 76400)
(82800, 53600)
(92300, 65100)
(149400, 93600)
(86600, 53500)
(77200, 48900)
(119500, 79000)
(95200, 63000)
(78600, 51400)
(102700, 66100)
(93200, 58400)
(84200, 53400)
(100400, 63200)
(144600, 87800)
(89300, 53300)
(96100, 60300)
