(111600, 47100, 38600)
(80000, 32700, 87000)
(83300, 34800, 36300)
(81100, 41400, 52700)
(136000, 73900, 75800)
(119100, 56000, 46000)
(99400, 35200, 39200)
(93500, 32900, 38900)
(115500, 206700, 67500)
(157100, 42800, 61600)
(72800, 29200, 37000)
(79900, 43100, 44600)
(101800, 50000, 51100)
(80500, 36100, 43200)
(78100, 39400, 44200)
(314200, 94300, 65800)
(248100, 92100, 61100)
(129700, 59000, 48700)
(84000, 40400, 45500)
(96900, 36800, 49000)
(64900, 28200, 36800)
(73400, 33300, 41300)
(57300, 29900, 34000)
(71400, 28800, 33500)
(105000, 50400, 56000)
(130700, 66300, 69200)
(103800, 57300, 60900)
(121700, 49400, 56600)
(127600, 64700, 68400)
(154000, 78000, 68000)
(125400, 33700, 62200)
(133100, 67700, 66500)
(85600, 41800, 45600)
(104800, 42100, 49800)
(79400, 34100, 46800)
(75000, 33500, 41100)
(84700, 46700, 46400)
(76200, 34500, 40200)
(87000, 33400, 46900)
(78300, 35100, 42600)
(85200, 43700, 53200)
(86100, 32800, 40000)
(92200, 42600, 48300)
(69500, 28600, 36900)
(88100, 43800, 47200)
(69300, 33800, 41400)
(120000, 45900, 51000)
(133900, 47000, 44800)
(87600, 37700, 48300)
(71100, 38300, 38400)
(57200, 23000, 32100)
(75800, 32600, 41400)
(83400, 41600, 46600)
(78600, 32200, 34700)
(100400, 57000, 41200)
(80800, 53100, 62700)
(59400, 29800, 31000)
(92400, 39200, 44100)
(84500, 43200, 46000)
(82000, 35400, 45600)
(91200, 40400, 51800)
(90600, 40500, 49600)
(58500, 27000, 35000)
(84000, 37400, 49300)
(56700, 28800, 35600)
(60700, 48600, 53100)
(219400, 52400, 109400)
(103300, 277400, 48100)
(91500, 43100, 53300)
(79600, 39800, 42400)
(87200, 40600, 48200)
(79800, 32500, 37300)
(74000, 41000, 42100)
(91500, 40500, 48400)
(71600, 31300, 39800)
(66400, 29600, 38700)
(54400, 23000, 29100)
(81700, 36700, 44900)
(63200, 31100, 35600)
(84500, 37000, 52200)
(112100, 51200, 58900)
(67000, 28700, 36900)
(72200, 32000, 41800)
(55100, 23500, 31500)
(58400, 26000, 32900)
(66300, 30400, 37000)
(99600, 50400, 63300)
(67700, 28300, 37800)
(85300, 43700, 45700)
(54900, 26600, 28900)
(79700, 39000, 50300)
(73900, 30500, 40800)
(74300, 30100, 40000)
(174600, 62200, 65500)
(138500, 60200, 60500)
(111100, 45500, 48300)
(86100, 49200, 45700)
(147800, 69200, 70500)
(90400, 38700, 49600)
(86000, 45800, 57400)
