927800, 90700, 305000
338900, 87500, 317200
260600, 87000, 306200
273100, 90600, 341900
282300, 98400, 319500
287700, 94800, 315600
307700, 104100, 327400
312400, 110400, 333100
321100, 103300, 980100
337200, 117200, 353600
353900, 112600, 351200
357200, 115500, 363500
373000, 117000, 365500
385000, 131600, 372700
401500, 126500, 389800
403100, 128400, 827400
413100, 135400, 382000
421200, 136600, 390100
441600, 143600, 463300
450900, 143100, 403500
468200, 143300, 415100
472300, 145400, 419300
1053700, 158000, 424100
555700, 156900, 428900
512300, 150100, 438200
539400, 153800, 438700
556900, 157700, 437800
549800, 152400, 1055500
569900, 157400, 462400
582600, 159100, 462500
594600, 159500, 466800
1123100, 181800, 516500
669700, 176200, 491000
714300, 182600, 492600
657800, 176200, 503600
681200, 179500, 492100
696600, 183700, 509300
717100, 812400, 519400
751800, 190800, 512800
745500, 163700, 522000
778900, 196100, 641600
1076600, 178700, 584900
914100, 187300, 547300
834500, 174300, 564300
916600, 222600, 558100
855000, 865000, 574500
869600, 212100, 570200
884700, 196600, 575700
932900, 209800, 576300
1019100, 211900, 644300
1047900, 227700, 623700
